2.3.28 - Recursion depth

Cutoff Size |  Array Size |  Average Recursive Depth
         10          1000                          9
         10         10000                         13
         10        100000                         18
         10       1000000                         22
         20          1000                          9
         20         10000                         11
         20        100000                         16
         20       1000000                         21
         50          1000                          5
         50         10000                         12
         50        100000                         15
         50       1000000                         19
