2.3.25 - Cutoff to insertion sort

The results were very similar, but the best average running time was obtained with a cutoff of size 28.

Cutoff Size |     Average Running Time
          0                    0.09625
          1                    0.09025
          2                    0.09225
          3                    0.09675
          4                    0.08700
          5                    0.10025
          6                    0.10075
          7                    0.09625
          8                    0.10350
          9                    0.09525
         10                    0.08800
         11                    0.08525
         12                    0.08875
         13                    0.08975
         14                    0.08950
         15                    0.08600
         16                    0.08525
         17                    0.08675
         18                    0.09200
         19                    0.08975
         20                    0.08625
         21                    0.08700
         22                    0.08425
         23                    0.08475
         24                    0.08775
         25                    0.08600
         26                    0.08475
         27                    0.08725
         28                    0.08400
         29                    0.09550
         30                    0.09725
