2.5.31 - Distinct values

The experiments validate the formula:

Values Generated |   Max Value |  Distinct Values |  Expected Distinct Values
            1000           500             429.90                      432.33
            1000          1000             634.30                      632.12
            1000          2000             782.20                      786.94
           10000          5000            4327.30                     4323.32
           10000         10000            6300.20                     6321.21
           10000         20000            7879.30                     7869.39
          100000         50000           43206.90                    43233.24
          100000        100000           63187.10                    63212.06
          100000        200000           78684.30                    78693.87
         1000000        500000          432317.30                   432332.36
         1000000       1000000          632103.50                   632120.56
         1000000       2000000          786645.00                   786938.68
