3.4.38 - Separate-chaining distribution

Proposition K says that in a separate-chaining hash table with M lists and N keys, the probability (under assumption J) that the number of keys in a list is within a small constant factor of N/M is extremely close to 1.

Results:

Total cost for 10^3 inserts |  Average cost for each insert |  Expected number of keys in list
                          3                           0.003                              0.010
                          8                           0.008                              0.020
                         23                           0.023                              0.030
                         36                           0.036                              0.040
                         35                           0.035                              0.050
                         63                           0.063                              0.060
                         67                           0.067                              0.070
                         67                           0.067                              0.080
                         84                           0.084                              0.090
                        109                           0.109                              0.100
                         98                           0.098                              0.109
                        111                           0.111                              0.119
                        112                           0.112                              0.129
                        130                           0.130                              0.139
                        177                           0.177                              0.149
                        157                           0.157                              0.159
                        176                           0.176                              0.169
                        175                           0.175                              0.178
                        195                           0.195                              0.188
                        196                           0.196                              0.198
                        224                           0.224                              0.208
                        211                           0.211                              0.218
                        235                           0.235                              0.227
                        216                           0.216                              0.237
                        249                           0.249                              0.247
                        250                           0.250                              0.257
                        253                           0.253                              0.267
                        228                           0.228                              0.276
                        280                           0.280                              0.286
                        289                           0.289                              0.296
                        306                           0.306                              0.306
                        293                           0.293                              0.315
                        327                           0.327                              0.325
                        315                           0.315                              0.335
                        334                           0.334                              0.344
                        352                           0.352                              0.354
                        332                           0.332                              0.364
                        344                           0.344                              0.373
                        363                           0.363                              0.383
                        374                           0.374                              0.393
                        401                           0.401                              0.402
                        359                           0.359                              0.412
                        391                           0.391                              0.421
                        430                           0.430                              0.431
                        423                           0.423                              0.441
                        403                           0.403                              0.450
                        409                           0.409                              0.460
                        465                           0.465                              0.469
                        470                           0.470                              0.479
                        453                           0.453                              0.488
                        503                           0.503                              0.498
                        476                           0.476                              0.507
                        487                           0.487                              0.517
                        450                           0.450                              0.526
                        545                           0.545                              0.536
                        542                           0.542                              0.545
                        505                           0.505                              0.555
                        550                           0.550                              0.564
                        526                           0.526                              0.574
                        578                           0.578                              0.583
                        544                           0.544                              0.592
                        572                           0.572                              0.602
                        610                           0.610                              0.611
                        619                           0.619                              0.621
                        586                           0.586                              0.630
                        624                           0.624                              0.639
                        623                           0.623                              0.649
                        644                           0.644                              0.658
                        659                           0.659                              0.667
                        639                           0.639                              0.677
                        659                           0.659                              0.686
                        662                           0.662                              0.695
                        685                           0.685                              0.705
                        708                           0.708                              0.714
                        707                           0.707                              0.723
                        702                           0.702                              0.732
                        737                           0.737                              0.742
                        704                           0.704                              0.751
                        725                           0.725                              0.760
                        746                           0.746                              0.769
                        743                           0.743                              0.779
                        721                           0.721                              0.788
                        806                           0.806                              0.797
                        818                           0.818                              0.806
                        763                           0.763                              0.816
                        829                           0.829                              0.825
                        817                           0.817                              0.834
                        803                           0.803                              0.843
                        833                           0.833                              0.852
                        844                           0.844                              0.861
                        851                           0.851                              0.870
                        812                           0.812                              0.879
                        823                           0.823                              0.888
                        864                           0.864                              0.897
                        877                           0.877                              0.906
                        846                           0.846                              0.916
                        878                           0.878                              0.925
                        931                           0.931                              0.934
                        861                           0.861                              0.943
                        922                           0.922                              0.952

All the results for the average cost of each insert are within a small constant factor of N/M (expected number of keys in a list), which validates proposition K.
