4.4.20

Based on: http://www.xe.com/currencyconverter/
Date: 2017-12-03 22:00 UTC

Currency-conversion table

       USD     EUR     GBP     INR     AUD
USD 1.00000 0.84279 0.74426 64.5471 1.31644
EUR 1.18653 1.00000 0.88309 76.5871 1.56199
GBP 1.34361 1.13239 1.00000 86.7263 1.76878
INR 0.01549 0.01306 0.01153 1.00000 0.02039
AUD 0.75963 0.64021 0.56536 49.0318 1.00000

Arbitrage table (all arbitrage opportunities = all negative cycles)

USD 1.31644 -> AUD
AUD 0.75963 -> USD

EUR 0.88309 -> GBP
GBP 1.13239 -> EUR

EUR 76.58710 -> INR
INR 0.01306 -> EUR

EUR 1.56199 -> AUD
AUD 0.64021 -> EUR

GBP 1.13239 -> EUR
EUR 0.88309 -> GBP

INR 0.01306 -> EUR
EUR 76.58710 -> INR

AUD 0.75963 -> USD
USD 1.31644 -> AUD

AUD 0.64021 -> EUR
EUR 1.56199 -> AUD

USD 0.74426 -> GBP
GBP 1.76878 -> AUD
AUD 0.75963 -> USD

USD 64.54710 -> INR
INR 0.01306 -> EUR
EUR 1.18653 -> USD

USD 1.31644 -> AUD
AUD 0.64021 -> EUR
EUR 1.18653 -> USD

EUR 1.18653 -> USD
USD 64.54710 -> INR
INR 0.01306 -> EUR

EUR 1.18653 -> USD
USD 1.31644 -> AUD
AUD 0.64021 -> EUR

EUR 0.88309 -> GBP
GBP 86.72630 -> INR
INR 0.01306 -> EUR

EUR 0.88309 -> GBP
GBP 1.76878 -> AUD
AUD 0.64021 -> EUR

EUR 1.56199 -> AUD
AUD 49.03180 -> INR
INR 0.01306 -> EUR

GBP 86.72630 -> INR
INR 0.01306 -> EUR
EUR 0.88309 -> GBP

GBP 1.76878 -> AUD
AUD 0.75963 -> USD
USD 0.74426 -> GBP

GBP 1.76878 -> AUD
AUD 0.64021 -> EUR
EUR 0.88309 -> GBP

INR 0.01306 -> EUR
EUR 1.18653 -> USD
USD 64.54710 -> INR

INR 0.01306 -> EUR
EUR 0.88309 -> GBP
GBP 86.72630 -> INR

INR 0.01306 -> EUR
EUR 1.56199 -> AUD
AUD 49.03180 -> INR

AUD 0.75963 -> USD
USD 0.74426 -> GBP
GBP 1.76878 -> AUD

AUD 0.64021 -> EUR
EUR 1.18653 -> USD
USD 1.31644 -> AUD

AUD 0.64021 -> EUR
EUR 0.88309 -> GBP
GBP 1.76878 -> AUD

AUD 49.03180 -> INR
INR 0.01306 -> EUR
EUR 1.56199 -> AUD

USD 0.84279 -> EUR
EUR 0.88309 -> GBP
GBP 1.76878 -> AUD
AUD 0.75963 -> USD

USD 0.74426 -> GBP
GBP 1.13239 -> EUR
EUR 1.56199 -> AUD
AUD 0.75963 -> USD

USD 0.74426 -> GBP
GBP 86.72630 -> INR
INR 0.01306 -> EUR
EUR 1.18653 -> USD

USD 64.54710 -> INR
INR 0.01306 -> EUR
EUR 0.88309 -> GBP
GBP 1.34361 -> USD

USD 64.54710 -> INR
INR 0.01306 -> EUR
EUR 1.56199 -> AUD
AUD 0.75963 -> USD

USD 1.31644 -> AUD
AUD 0.64021 -> EUR
EUR 0.88309 -> GBP
GBP 1.34361 -> USD

USD 1.31644 -> AUD
AUD 0.56536 -> GBP
GBP 1.13239 -> EUR
EUR 1.18653 -> USD

USD 1.31644 -> AUD
AUD 49.03180 -> INR
INR 0.01306 -> EUR
EUR 1.18653 -> USD

EUR 1.18653 -> USD
USD 0.74426 -> GBP
GBP 86.72630 -> INR
INR 0.01306 -> EUR

EUR 1.18653 -> USD
USD 1.31644 -> AUD
AUD 0.56536 -> GBP
GBP 1.13239 -> EUR

EUR 1.18653 -> USD
USD 1.31644 -> AUD
AUD 49.03180 -> INR
INR 0.01306 -> EUR

EUR 0.88309 -> GBP
GBP 1.34361 -> USD
USD 64.54710 -> INR
INR 0.01306 -> EUR

EUR 0.88309 -> GBP
GBP 1.34361 -> USD
USD 1.31644 -> AUD
AUD 0.64021 -> EUR

EUR 0.88309 -> GBP
GBP 1.76878 -> AUD
AUD 0.75963 -> USD
USD 0.84279 -> EUR

EUR 0.88309 -> GBP
GBP 1.76878 -> AUD
AUD 49.03180 -> INR
INR 0.01306 -> EUR

EUR 1.56199 -> AUD
AUD 0.75963 -> USD
USD 0.74426 -> GBP
GBP 1.13239 -> EUR

EUR 1.56199 -> AUD
AUD 0.75963 -> USD
USD 64.54710 -> INR
INR 0.01306 -> EUR

EUR 1.56199 -> AUD
AUD 0.56536 -> GBP
GBP 86.72630 -> INR
INR 0.01306 -> EUR

GBP 1.34361 -> USD
USD 64.54710 -> INR
INR 0.01306 -> EUR
EUR 0.88309 -> GBP

GBP 1.34361 -> USD
USD 1.31644 -> AUD
AUD 0.64021 -> EUR
EUR 0.88309 -> GBP

GBP 1.13239 -> EUR
EUR 1.18653 -> USD
USD 1.31644 -> AUD
AUD 0.56536 -> GBP

GBP 1.13239 -> EUR
EUR 1.56199 -> AUD
AUD 0.75963 -> USD
USD 0.74426 -> GBP

GBP 86.72630 -> INR
INR 0.01306 -> EUR
EUR 1.18653 -> USD
USD 0.74426 -> GBP

GBP 86.72630 -> INR
INR 0.01306 -> EUR
EUR 1.56199 -> AUD
AUD 0.56536 -> GBP

GBP 1.76878 -> AUD
AUD 0.75963 -> USD
USD 0.84279 -> EUR
EUR 0.88309 -> GBP

GBP 1.76878 -> AUD
AUD 49.03180 -> INR
INR 0.01306 -> EUR
EUR 0.88309 -> GBP

INR 0.01306 -> EUR
EUR 1.18653 -> USD
USD 0.74426 -> GBP
GBP 86.72630 -> INR

INR 0.01306 -> EUR
EUR 1.18653 -> USD
USD 1.31644 -> AUD
AUD 49.03180 -> INR

INR 0.01306 -> EUR
EUR 0.88309 -> GBP
GBP 1.34361 -> USD
USD 64.54710 -> INR

INR 0.01306 -> EUR
EUR 0.88309 -> GBP
GBP 1.76878 -> AUD
AUD 49.03180 -> INR

INR 0.01306 -> EUR
EUR 1.56199 -> AUD
AUD 0.75963 -> USD
USD 64.54710 -> INR

INR 0.01306 -> EUR
EUR 1.56199 -> AUD
AUD 0.56536 -> GBP
GBP 86.72630 -> INR

AUD 0.75963 -> USD
USD 0.84279 -> EUR
EUR 0.88309 -> GBP
GBP 1.76878 -> AUD

AUD 0.75963 -> USD
USD 0.74426 -> GBP
GBP 1.13239 -> EUR
EUR 1.56199 -> AUD

AUD 0.75963 -> USD
USD 64.54710 -> INR
INR 0.01306 -> EUR
EUR 1.56199 -> AUD

AUD 0.64021 -> EUR
EUR 0.88309 -> GBP
GBP 1.34361 -> USD
USD 1.31644 -> AUD

AUD 0.56536 -> GBP
GBP 1.13239 -> EUR
EUR 1.18653 -> USD
USD 1.31644 -> AUD

AUD 0.56536 -> GBP
GBP 86.72630 -> INR
INR 0.01306 -> EUR
EUR 1.56199 -> AUD

AUD 49.03180 -> INR
INR 0.01306 -> EUR
EUR 1.18653 -> USD
USD 1.31644 -> AUD

AUD 49.03180 -> INR
INR 0.01306 -> EUR
EUR 0.88309 -> GBP
GBP 1.76878 -> AUD

USD 0.74426 -> GBP
GBP 86.72630 -> INR
INR 0.01306 -> EUR
EUR 1.56199 -> AUD
AUD 0.75963 -> USD

USD 0.74426 -> GBP
GBP 1.76878 -> AUD
AUD 49.03180 -> INR
INR 0.01306 -> EUR
EUR 1.18653 -> USD

USD 64.54710 -> INR
