5.2.23 - Duplicates (revisited again)

Results:

            Method |   Data structure |   Values type |  Values Generated |     Max Value |  Time spent
 Array index count              Array         Integer                1000             500          0.01
 Array index count              Array         Integer                1000            1000          0.00
 Array index count              Array         Integer                1000            2000          0.00
 Array index count              Array         Integer               10000            5000          0.00
 Array index count              Array         Integer               10000           10000          0.00
 Array index count              Array         Integer               10000           20000          0.00
 Array index count              Array         Integer              100000           50000          0.02
 Array index count              Array         Integer              100000          100000          0.02
 Array index count              Array         Integer              100000          200000          0.03
 Array index count              Array         Integer             1000000          500000          0.28
 Array index count              Array         Integer             1000000         1000000          0.35
 Array index count              Array         Integer             1000000         2000000          0.37
             DeDup            HashSet         Integer                1000             500          0.00
             DeDup            HashSet         Integer                1000            1000          0.00
             DeDup            HashSet         Integer                1000            2000          0.00
             DeDup            HashSet         Integer               10000            5000          0.01
             DeDup            HashSet         Integer               10000           10000          0.01
             DeDup            HashSet         Integer               10000           20000          0.01
             DeDup            HashSet         Integer              100000           50000          0.05
             DeDup            HashSet         Integer              100000          100000          0.06
             DeDup            HashSet         Integer              100000          200000          0.06
             DeDup            HashSet         Integer             1000000          500000          1.30
             DeDup            HashSet         Integer             1000000         1000000          1.34
             DeDup            HashSet         Integer             1000000         2000000          2.18
             DeDup          StringSet         Integer                1000             500          0.01
             DeDup          StringSet         Integer                1000            1000          0.00
             DeDup          StringSet         Integer                1000            2000          0.00
             DeDup          StringSet         Integer               10000            5000          0.02
             DeDup          StringSet         Integer               10000           10000          0.02
             DeDup          StringSet         Integer               10000           20000          0.03
             DeDup          StringSet         Integer              100000           50000          0.29
             DeDup          StringSet         Integer              100000          100000          0.35
             DeDup          StringSet         Integer              100000          200000          0.46
             DeDup          StringSet         Integer             1000000          500000          6.23
             DeDup          StringSet         Integer             1000000         1000000          7.20
             DeDup          StringSet         Integer             1000000         2000000          8.13
 Array index count              Array            Long                1000             500          0.00
 Array index count              Array            Long                1000            1000          0.00
 Array index count              Array            Long                1000            2000          0.00
 Array index count              Array            Long               10000            5000          0.00
 Array index count              Array            Long               10000           10000          0.00
 Array index count              Array            Long               10000           20000          0.00
 Array index count              Array            Long              100000           50000          0.02
 Array index count              Array            Long              100000          100000          0.02
 Array index count              Array            Long              100000          200000          0.02
 Array index count              Array            Long             1000000          500000          0.24
 Array index count              Array            Long             1000000         1000000          0.38
 Array index count              Array            Long             1000000         2000000          0.39
             DeDup            HashSet            Long                1000             500          0.00
             DeDup            HashSet            Long                1000            1000          0.00
             DeDup            HashSet            Long                1000            2000          0.00
             DeDup            HashSet            Long               10000            5000          0.01
             DeDup            HashSet            Long               10000           10000          0.01
             DeDup            HashSet            Long               10000           20000          0.01
             DeDup            HashSet            Long              100000           50000          0.06
             DeDup            HashSet            Long              100000          100000          0.08
             DeDup            HashSet            Long              100000          200000          0.09
             DeDup            HashSet            Long             1000000          500000          1.51
             DeDup            HashSet            Long             1000000         1000000          1.57
             DeDup            HashSet            Long             1000000         2000000          2.20
             DeDup          StringSet            Long                1000             500          0.02
             DeDup          StringSet            Long                1000            1000          0.01
             DeDup          StringSet            Long                1000            2000          0.00
             DeDup          StringSet            Long               10000            5000          0.03
             DeDup          StringSet            Long               10000           10000          0.03
             DeDup          StringSet            Long               10000           20000          0.03
             DeDup          StringSet            Long              100000           50000          0.30
             DeDup          StringSet            Long              100000          100000          0.40
             DeDup          StringSet            Long              100000          200000          0.43
             DeDup          StringSet            Long             1000000          500000          6.40
